CVE_CONCATENADA,CVE_ENT,CVE_MUN,NOMBRE_MUN,ENTIDAD,NIVEL
01001,01,001,Aguascalientes,Aguascalientes,D3
01002,01,002,Asientos,Aguascalientes,D1
01003,01,003,Calvillo,Aguascalientes,D3
01004,01,004,Cosío,Aguascalientes,D2
01005,01,005,Jesús María,Aguascalientes,D3
01006,01,006,Pabellón de Arteaga,Aguascalientes,D3
01007,01,007,Rincón de Romos,Aguascalientes,D3
01008,01,008,San José de Gracia,Aguascalientes,D3
01009,01,009,Tepezalá,Aguascalientes,D1
01010,01,010,El Llano,Aguascalientes,D1
01011,01,011,San Francisco de los Romo,Aguascalientes,D2
02001,02,001,Ensenada,Baja California,
02002,02,002,Mexicali,Baja California,
02003,02,003,Tecate,Baja California,
02004,02,004,Tijuana,Baja California,
02005,02,005,Playas de Rosarito,Baja California,
02006,02,006,San Quintín**,Baja California,
02007,02,007,San Felipe**,Baja California,
03001,03,001,Comondú,Baja California Sur,D0
03002,03,002,Mulegé,Baja California Sur,D0
03003,03,003,La Paz,Baja California Sur,D0
03008,03,008,Los Cabos,Baja California Sur,
03009,03,009,Loreto,Baja California Sur,D0
04001,04,001,Calkiní,Campeche,D1
04002,04,002,Campeche,Campeche,D0
04003,04,003,Carmen,Campeche,D2
04004,04,004,Champotón,Campeche,D1
04005,04,005,Hecelchakán,Campeche,
04006,04,006,Hopelchén,Campeche,D0
04007,04,007,Palizada,Campeche,D2
04008,04,008,Tenabo,Campeche,
04009,04,009,Escárcega,Campeche,D1
04010,04,010,Calakmul,Campeche,D0
04011,04,011,Candelaria,Campeche,D1
04012,04,012,Seybaplaya**,Campeche,D0
04013,04,013,Dzitbalché**,Campeche,
05001,05,001,Abasolo,Coahuila de Zaragoza,D0
05002,05,002,Acuña,Coahuila de Zaragoza,D3
05003,05,003,Allende,Coahuila de Zaragoza,D2
05004,05,004,Arteaga,Coahuila de Zaragoza,
05005,05,005,Candela,Coahuila de Zaragoza,D0
05006,05,006,Castaños,Coahuila de Zaragoza,D0
05007,05,007,Cuatro Ciénegas,Coahuila de Zaragoza,D3
05008,05,008,Escobedo,Coahuila de Zaragoza,D0
05009,05,009,Francisco I. Madero,Coahuila de Zaragoza,D3
05010,05,010,Frontera,Coahuila de Zaragoza,D0
05011,05,011,General Cepeda,Coahuila de Zaragoza,
05012,05,012,Guerrero,Coahuila de Zaragoza,D2
05013,05,013,Hidalgo,Coahuila de Zaragoza,D1
05014,05,014,Jiménez,Coahuila de Zaragoza,D3
05015,05,015,Juárez,Coahuila de Zaragoza,D1
05016,05,016,Lamadrid,Coahuila de Zaragoza,D1
05017,05,017,Matamoros,Coahuila de Zaragoza,D1
05018,05,018,Monclova,Coahuila de Zaragoza,D0
05019,05,019,Morelos,Coahuila de Zaragoza,D2
05020,05,020,Múzquiz,Coahuila de Zaragoza,D2
05021,05,021,Nadadores,Coahuila de Zaragoza,D1
05022,05,022,Nava,Coahuila de Zaragoza,D2
05023,05,023,Ocampo,Coahuila de Zaragoza,D3
05024,05,024,Parras,Coahuila de Zaragoza,D1
05025,05,025,Piedras Negras,Coahuila de Zaragoza,D3
05026,05,026,Progreso,Coahuila de Zaragoza,D1
05027,05,027,Ramos Arizpe,Coahuila de Zaragoza,
05028,05,028,Sabinas,Coahuila de Zaragoza,D1
05029,05,029,Sacramento,Coahuila de Zaragoza,D1
05030,05,030,Saltillo,Coahuila de Zaragoza,D0
05031,05,031,San Buenaventura,Coahuila de Zaragoza,D2
05032,05,032,San Juan de Sabinas,Coahuila de Zaragoza,D1
05033,05,033,San Pedro,Coahuila de Zaragoza,D2
05034,05,034,Sierra Mojada,Coahuila de Zaragoza,D4
05035,05,035,Torreón,Coahuila de Zaragoza,D2
05036,05,036,Viesca,Coahuila de Zaragoza,D2
05037,05,037,Villa Unión,Coahuila de Zaragoza,D2
05038,05,038,Zaragoza,Coahuila de Zaragoza,D3
06001,06,001,Armería,Colima,D1
06002,06,002,Colima,Colima,D3
06003,06,003,Comala,Colima,D3
06004,06,004,Coquimatlán,Colima,D2
06005,06,005,Cuauhtémoc,Colima,D3
06006,06,006,Ixtlahuacán,Colima,D2
06007,06,007,Manzanillo,Colima,D1
06008,06,008,Minatitlán,Colima,D2
06009,06,009,Tecomán,Colima,D1
06010,06,010,Villa de Álvarez,Colima,D3
07001,07,001,Acacoyagua,Chiapas,D0
07002,07,002,Acala,Chiapas,D1
07003,07,003,Acapetahua,Chiapas,D0
07004,07,004,Altamirano,Chiapas,D2
07005,07,005,Amatán,Chiapas,D2
07006,07,006,Amatenango de la Frontera,Chiapas,D1
07007,07,007,Amatenango del Valle,Chiapas,D0
07008,07,008,Angel Albino Corzo,Chiapas,D1
07009,07,009,Arriaga,Chiapas,D2
07010,07,010,Bejucal de Ocampo,Chiapas,D1
07011,07,011,Bella Vista,Chiapas,D1
07012,07,012,Berriozábal,Chiapas,D2
07013,07,013,Bochil,Chiapas,D2
07014,07,014,El Bosque,Chiapas,D1
07015,07,015,Cacahoatán,Chiapas,D1
07016,07,016,Catazajá,Chiapas,D2
07017,07,017,Cintalapa,Chiapas,D2
07018,07,018,Coapilla,Chiapas,D2
07019,07,019,Comitán de Domínguez,Chiapas,D1
07020,07,020,La Concordia,Chiapas,D1
07021,07,021,Copainalá,Chiapas,D2
07022,07,022,Chalchihuitán,Chiapas,D1
07023,07,023,Chamula,Chiapas,D1
07024,07,024,Chanal,Chiapas,D0
07025,07,025,Chapultenango,Chiapas,D2
07026,07,026,Chenalhó,Chiapas,D1
07027,07,027,Chiapa de Corzo,Chiapas,D1
07028,07,028,Chiapilla,Chiapas,D1
07029,07,029,Chicoasén,Chiapas,D2
07030,07,030,Chicomuselo,Chiapas,D1
07031,07,031,Chilón,Chiapas,D1
07032,07,032,Escuintla,Chiapas,D0
07033,07,033,Francisco León,Chiapas,D2
07034,07,034,Frontera Comalapa,Chiapas,D1
07035,07,035,Frontera Hidalgo,Chiapas,D0
07036,07,036,La Grandeza,Chiapas,D1
07037,07,037,Huehuetán,Chiapas,D0
07038,07,038,Huixtán,Chiapas,D1
07039,07,039,Huitiupán,Chiapas,D2
07040,07,040,Huixtla,Chiapas,D0
07041,07,041,La Independencia,Chiapas,D2
07042,07,042,Ixhuatán,Chiapas,D2
07043,07,043,Ixtacomitán,Chiapas,D2
07044,07,044,Ixtapa,Chiapas,D1
07045,07,045,Ixtapangajoya,Chiapas,D2
07046,07,046,Jiquipilas,Chiapas,D2
07047,07,047,Jitotol,Chiapas,D2
07048,07,048,Juárez,Chiapas,D2
07049,07,049,Larráinzar,Chiapas,D1
07050,07,050,La Libertad,Chiapas,D1
07051,07,051,Mapastepec,Chiapas,D0
